LANDING_YEAR,PACFIN_SPECIES_CODE,PACFIN_SPECIES_COMMON_NAME,FIRST_QTR_LANDED_WEIGHT_MTONS,FIRST_QTR_EXVESSEL_REVENUE,FIRST_QTR_LANDED_PPP,FIRST_QTR_NUMBER_OF_VESSELS,FIRST_QTR_NUMBER_OF_DEALERS,FIRST_QTR_CONFIDENTIAL_FLAG,SECOND_QTR_LANDED_WEIGHT_MTONS,SECOND_QTR_EXVESSEL_REVENUE,SECOND_QTR_LANDED_PPP,SECOND_QTR_NUMBER_OF_VESSELS,SECOND_QTR_NUMBER_OF_DEALERS,SECOND_QTR_CONFIDENTIAL_FLAG,THIRD_QTR_LANDED_WEIGHT_MTONS,THIRD_QTR_EXVESSEL_REVENUE,THIRD_QTR_LANDED_PPP,THIRD_QTR_NUMBER_OF_VESSELS,THIRD_QTR_NUMBER_OF_DEALERS,THIRD_QTR_CONFIDENTIAL_FLAG,FOURTH_QTR_LANDED_WEIGHT_MTONS,FOURTH_QTR_EXVESSEL_REVENUE,FOURTH_QTR_LANDED_PPP,FOURTH_QTR_NUMBER_OF_VESSELS,FOURTH_QTR_NUMBER_OF_DEALERS,FOURTH_QTR_CONFIDENTIAL_FLAG
1985,CMCK,CHUB MACKEREL,3429.92,684080.27,0.09,72,23, ,2104.35,391850.88,0.08,73,22, ,5955.46,1093690.24,0.08,78,14, ,6658.82,1152763.53,0.08,57,12, 
1985,JMCK,JACK MACKEREL,1211.75,240510.31,0.09,27,14, ,1980.55,370759.17,0.08,54,18, ,2628.03,482930.84,0.08,49,19, ,1055.27,197859.45,0.09,24,13, 
1985,MSQD,MARKET SQUID,680.18,428624.98,0.29,53,30, ,4255.25,2165492.57,0.23,87,44, ,1184.12,522096.99,0.2,46,23, ,4950.02,1166728.87,0.11,53,30, 
1985,NANC,NORTHERN ANCHOVY,124.23,38871.95,0.14,12,13, ,151.72,33450.28,0.1,14,16, ,348.59,89333.89,0.12,22,22, ,1002.15,66092.62,0.03,15,13, 
1985,PSDN,PACIFIC SARDINE,0,0,0,0,0, ,0.71,288.5,0.18,5,5, ,1.62,413.55,0.12,3,4, ,3.51,711.9,0.09,3,4, 
1985,UMCK,UNSP. MACKEREL,3566.61,625471.7,0.08,152,56, ,7303.26,1267503.49,0.08,187,67, ,5441.15,808121.14,0.07,179,80, ,3312.39,539864.9,0.07,133,69, 
1986,CMCK,CHUB MACKEREL,2113.87,300852.98,0.06,41,11, ,2798.2,454973.99,0.07,68,17, ,7131.06,1189367.21,0.08,98,24, ,10050.3,1622455.18,0.07,78,27, 
1986,JMCK,JACK MACKEREL,831.26,144267.7,0.08,23,9, ,1204.97,201607.85,0.08,32,14, ,1840.97,328170.64,0.08,33,13, ,900.08,154374.5,0.08,34,15, 
1986,MSQD,MARKET SQUID,3446.48,702589.12,0.09,39,24, ,2673.53,675672.26,0.11,52,34, ,3597.34,935481.37,0.12,36,28, ,11572.01,2204851.84,0.09,82,45, 
1986,NANC,NORTHERN ANCHOVY,15.9,3732.36,0.11,6,8, ,994.77,102780.23,0.05,18,18, ,527.84,122465.99,0.11,23,21, ,17.84,4497.05,0.11,7,6, 
1986,PSDN,PACIFIC SARDINE,166.74,38603.74,0.11,13,14, ,187.73,36909.96,0.09,21,14, ,32.26,6748.67,0.09,10,11, ,1.75,418,0.11,5,5, 
1986,UMCK,UNSP. MACKEREL,8336.16,1334608.97,0.07,121,59, ,9654.15,1599190.21,0.08,137,72, ,4739.95,706163.94,0.07,164,82, ,3206.07,565624.01,0.08,90,52, 
1987,CMCK,CHUB MACKEREL,7216.88,1133820.75,0.07,83,31, ,6442.46,1029159.77,0.07,106,42, ,8621.37,1047965.69,0.06,205,63, ,4660.84,773229.43,0.08,79,42, 
1987,JMCK,JACK MACKEREL,1687.39,285229.22,0.08,29,12, ,1304,188507.25,0.07,40,19, ,3061.44,422693.02,0.06,65,24, ,1967.31,297696.61,0.07,31,9, 
1987,MSQD,MARKET SQUID,5395.28,1031594.52,0.09,44,29, ,2111.7,437172.62,0.09,34,32, ,3645.88,834284.63,0.1,43,32, ,8831.22,1651896.89,0.08,65,35, 
1987,NANC,NORTHERN ANCHOVY,80.65,13565.66,0.08,8,8, ,420.01,89830.05,0.1,18,13, ,506.37,143756.11,0.13,21,22, ,452.16,60115.29,0.06,14,15, 
1987,PSDN,PACIFIC SARDINE,314.07,46484.34,0.07,19,15, ,70.42,10019.87,0.06,19,19, ,54.5,6336.25,0.05,17,16, ,,,,3,2,*
1987,UMCK,UNSP. MACKEREL,5283.75,907792.85,0.08,66,41, ,2395.35,368485.55,0.07,95,54, ,7986.01,941954.64,0.05,160,70, ,4117.9,473421.3,0.05,75,44, 
1988,CMCK,CHUB MACKEREL,3679.57,656059.31,0.08,88,42, ,12813.26,2165908.77,0.08,91,45, ,9009.49,1537414.51,0.08,193,60, ,4625.3,759835.33,0.07,71,34, 
1988,JMCK,JACK MACKEREL,1925.95,260138.52,0.06,26,10, ,1059.79,168102.2,0.07,49,21, ,1703.1,288522.98,0.08,47,20, ,378.63,79046.87,0.09,14,10, 
1988,MSQD,MARKET SQUID,8284.72,1498846.49,0.08,46,21, ,4904.7,900169.42,0.08,41,22, ,3852.41,918077.17,0.11,59,35, ,20273.56,4242019.29,0.09,74,46, 
1988,NANC,NORTHERN ANCHOVY,124.62,27331.45,0.1,15,11, ,558.32,132046.08,0.11,18,12, ,475.99,225520.61,0.21,17,17, ,359.22,32159.35,0.04,9,11, 
1988,PSDN,PACIFIC SARDINE,999.87,116098.54,0.05,26,12, ,46.8,37578.3,0.36,11,8, ,25.47,3132.7,0.06,11,10, ,116.27,14712.7,0.06,7,5, 
1988,UMCK,UNSP. MACKEREL,7077.1,819952.74,0.05,58,33, ,4170.9,665779.35,0.07,98,52, ,3970.46,690107.93,0.08,148,57, ,5517.22,918443.61,0.08,55,34, 
1989,CMCK,CHUB MACKEREL,7709.75,1205935,0.07,79,39, ,6464.48,1093596.34,0.08,94,41, ,5513.9,847882.33,0.07,235,61, ,1383.48,202414.39,0.07,63,41, 
1989,JMCK,JACK MACKEREL,730.81,182093.16,0.11,14,8, ,1488.04,218962.6,0.07,33,15, ,5064.27,763809.41,0.07,46,22, ,3462.17,492445.69,0.06,33,13, 
1989,MSQD,MARKET SQUID,14855.45,3126417.29,0.1,51,26, ,5315.85,1132947.11,0.1,46,30, ,2781.61,645992.85,0.11,37,24, ,18022.21,2608907.77,0.07,73,41, 
1989,NANC,NORTHERN ANCHOVY,88.15,14793.57,0.08,11,11, ,833.04,190290.26,0.1,19,18, ,1156.78,370952.51,0.15,17,17, ,433.2,121558.01,0.13,16,16, 
1989,PSDN,PACIFIC SARDINE,626.11,171109.47,0.12,35,22, ,92.39,10208.12,0.05,8,5, ,18.2,2205.2,0.05,8,7, ,100,11639.04,0.05,4,3, 
1989,UMCK,UNSP. MACKEREL,6277.85,990040.85,0.07,52,35, ,4029.97,578989.1,0.07,102,49, ,11202.62,1480494.33,0.06,190,66, ,5085.78,647277.45,0.06,73,41, 
