LANDING_YEAR,MANAGEMENT_GROUP_CODE,COMPLEX1_CODE,COMPLEX2_CODE,PACFIN_SPECIES_CODE,COMMON_NAME,TOTAL_LANDED_WEIGHT_MTONS,TOTAL_LANDED_WEIGHT_PPP,TOTAL_EXVESSEL_REVENUE,TOTAL_CONFIDENTIAL_FLAG
1985,GRND,FLAT,....,BSOL,BUTTER SOLE,5.3,,2673.19,
1985,GRND,FLAT,....,CSOL,CURLFIN SOLE,2,,1475.1,
1985,GRND,FLAT,....,DOVR,DOVER SOLE,8512.2,,4657256.32,*
1985,GRND,FLAT,....,DVR1,NOM. DOVER SOLE,12019.8,,6181250.63,
1985,GRND,FLAT,....,EGL1,NOM. ENGLISH SOLE,1062.4,,799140.87,
1985,GRND,FLAT,....,EGLS,ENGLISH SOLE,866.9,,617292.59,*
1985,GRND,FLAT,....,FNTS,FANTAIL SOLE,37.5,,27624.73,
1985,GRND,FLAT,....,FSOL,FLATHEAD SOLE,14.5,,10564.07,*
1985,GRND,FLAT,....,OFLT,OTHER FLATFISH,0,,0,*
1985,GRND,FLAT,....,PTR1,NOM. PETRALE SOLE,856.5,,1390299.23,
1985,GRND,FLAT,....,PTRL,PETRALE SOLE,982.9,,1588854.75,*
1985,GRND,FLAT,....,REX,REX SOLE,526.9,,380681.4,*
1985,GRND,FLAT,....,REX1,NOM. REX SOLE,897.8,,710859.49,
1985,GRND,FLAT,....,RSL1,NOM. ROCK SOLE,8.6,,6458.74,*
1985,GRND,FLAT,....,RSOL,ROCK SOLE,7.4,,4434.1,
1985,GRND,FLAT,....,SFL1,NOM. STARRY FLOUNDER,174.1,,132550.87,
1985,GRND,FLAT,....,SSO1,NOM. SAND SOLE,128.5,,179094.57,
1985,GRND,FLAT,....,SSOL,SAND SOLE,322.2,,442719.12,
1985,GRND,FLAT,....,STRY,STARRY FLOUNDER,552.6,,330991.6,
1985,GRND,FLAT,....,UFLT,UNSP. FLATFISH,133.2,,107955.18,*
1985,GRND,FLAT,SDAB,PDAB,PACIFIC SANDDAB,179.4,,120453.28,*
