,unique.code,S_C,S_SC,S_L,S_S,longitude,latitude,year,season,Argentina.sialis,Aristostomias.scintillans,Bathophilus.flemingi,Bathylagoides.wesethi,Bathylagus.pacificus,Brosmophycis.marginata,Ceratoscopelus.townsendi,Chauliodus.macouni,Chromis.punctipinnis,Cololabis.saira,Diogenichthys.atlanticus,Diogenichthys.laternatus,Electrona.risso,Embassichthys.bathybius,Engraulis.mordax,Girella.nigricans,Glyptocephalus.zachirus,Hemilepidotus.spinosus,Hippoglossina.stomata,Hypsypops.rubicundus,Icichthys.lockingtoni,Idiacanthus.antrostomus,Lampadena.urophaos,Leuroglossus.stilbius,Lipolagus.ochotensis,Loweina.rara,Lyopsetta.exilis,Medialuna.californiensis,Merluccius.productus,Microstoma,Microstomus.pacificus,Nansenia.candida,Nansenia.crassa,Notolychnus.valdiviae,Notoscopelus.resplendens,Ophiodon.elongatus,Oxylebius.pictus,Paralichthys.californicus,Parophrys.vetulus,Peprilus.simillimus,Pleuronichthys.coenosus,Pleuronichthys.decurrens,Pleuronichthys.verticalis,Protomyctophum.crockeri,Psettichthys.melanostictus,Pseudobathylagus.milleri,Sardinops.sagax,Scomber.japonicus,Scorpaenichthys.marmoratus,Sebastes.aurora,Sebastes.diploproa,Sebastes.goodei,Sebastes.jordani,Sebastes.levis,Sebastes.paucispinis,Seriola.lalandi,Sphyraena.argentea,Stenobrachius.leucopsarus,Stomias.atriventer,Symbolophorus.californiensis,Symbolophorus.evermanni,Symphurus.atricaudus,Tactostoma.macropus,Tarletonbeania.crenularis,Tetragonurus.cuvieri,Trachurus.symmetricus,Triphoturus.mexicanus,Zoarcoidei,Anguilliformes1,Gonostomatidae1,Sternoptychidae1,Vinciguerria1,Scopelarchidae1,Paralepididae1,Myctophum1,Diaphus1,Nannobrachium1,Hygophum1,Macrouridae1,Ophidiiformes1,Lampridiformes1,Melamphaidae1,Syngnathus1,Sebastes1,Scorpaena1,Sebastolobus1,Cottidae1,Agonidae1,Cyclopteridae1,Paralabrax1,Sciaenidae1,Labridae1,Chiasmodon1,Clinidae1,Hypsoblennius1,Gobiidae1,Citharichthys1,Pleuronichthys1,Gempylidae1
11848,76.7 49 2304 SH,2304,SH,76.7,49,-120.7766667,35.08666667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.99,0,0,0,0,0,0,0,0,24.29,20.82,0,3.47,0,10.41,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,3.47,0,3.47,0,0,0,6.94,0,0,0,0,152.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11849,76.7 51 2304 SH,2304,SH,76.7,51,-120.9166667,35.02166667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855.7916667,0,0,0,0,0,0,0,0,145.6666667,36.41666667,0,18.20833333,0,18.20833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.41666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11850,76.7 55 2304 SH,2304,SH,76.7,55,-121.1966667,34.88833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.6923077,0,0,0,0,0,0,0,0,95.30769231,71.48076923,0,0,0,7.942307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.942307692,0,0,0,0,0,0,0,150.9038462,0,0,0,0,0,0,0,0,0,0,0,0,7.942307692,0,0,0,0,0,0,0,0,0,0,0,0,31.76923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11851,76.7 60 2304 SH,2304,SH,76.7,60,-121.5466667,34.71833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3219.230769,0,0,0,0,0,17.88461538,0,0,286.1538462,125.1923077,0,0,0,17.88461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.88461538,0,0,375.5769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.76923077,0,0,0,0,0,0,35.76923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11852,76.7 70 2304 SH,2304,SH,76.7,70,-122.2466667,34.38833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9080.615385,0,0,0,0,0,0,0,0,133.5384615,19.07692308,0,0,0,133.5384615,0,0,0,0,0,0,0,0,0,19.07692308,0,0,0,0,19.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,209.8461538,0,0,0,0,0,19.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11853,76.7 80 2304 SH,2304,SH,76.7,80,-122.94,34.055,2023,spring,0,0,0,0,0,0,0,0,0,0,16.03846154,0,0,0,12622.26923,0,0,0,0,0,0,0,0,192.4615385,0,0,0,0,112.2692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.03846154,0,0,0,0,0,0,0,0,0,0,0,0,0,128.3076923,0,0,0,0,0,0,0,0,0,0,0,0,16.03846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11854,76.7 90 2304 SH,2304,SH,76.7,90,-123.6316667,33.72,2023,spring,0,0,0,0,0,0,0,26.08333333,0,0,0,0,0,0,1004.208333,0,0,0,0,0,0,0,0,130.4166667,52.16666667,0,0,0,65.20833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3333333,0,0,0,0,0,0,13.04166667,0,0,0,0,0,13.04166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11856,80 50.5 2304 SH,2304,SH,80,50.5,-120.5033333,34.46833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.44,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0
11857,80 51 2304 SH,2304,SH,80,51,-120.5266667,34.44833333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.95,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,16.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0
11858,80 55 2304 SH,2304,SH,80,55,-120.81,34.32666667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3049.8,0,0,0,0,0,0,0,0,309.4,53.04,0,0,0,26.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,150.28,0,0,0,0,0,0,0,0,0,0,0,0,8.84,0,0,0,0,0,8.84,0,0,0,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11859,80 60 2304 SH,2304,SH,80,60,-121.16,34.155,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912.163265,0,0,0,0,0,0,0,0,199.1836735,9.959183673,0,0,0,29.87755102,0,0,0,0,0,0,0,0,0,29.87755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.79591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11860,80 70 2304 SH,2304,SH,80,70,-121.8433333,33.815,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654.4,0,0,0,0,0,17.6,0,0,0,17.6,0,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11861,80 80 2304 SH,2304,SH,80,80,-122.5283333,33.48666667,2023,spring,0,0,0,0,0,0,0,0,0,9.666666667,58,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,9.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.666666667,0,9.666666667,19.33333333,0,0,0,0,9.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11862,80 90 2304 SH,2304,SH,80,90,-123.22,33.15,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.65217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.65217391,0,0,0,0,0,0,0,18.65217391,0,0,0,0,0,0,0,0,0,0,37.30434783,0,0,0,0,18.65217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11855,80 100 2304 SH,2304,SH,80,100,-123.8966667,32.795,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,8.2,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,98.4,0,0,0,0,0,0,0,0,0,0,32.8,0,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11863,80.7 59.9 2304 SH,2304,SH,80.7,59.9,-121.0583333,34.03166667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8932.909091,0,0,0,0,0,0,0,0,216.8181818,108.4090909,0,0,0,151.7727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.8181818,0,0,0,0,0,0,0,21.68181818,0,0,0,0,21.68181818,0,0,0,0,0,0,0,0,0,0,0,0,21.68181818,0,21.68181818,0,0,0,0,0,0,0,0,0,0,0,0,0
11864,81.2 53.9 2304 SH,2304,SH,81.2,53.9,-120.5866667,34.15333333,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.6153846,0,0,0,0,0,0,0,0,16.84615385,0,0,0,0,16.84615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.69230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.9230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11865,81.7 43.5 2304 SH,2304,SH,81.7,43.5,-119.8033333,34.395,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,35.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11866,81.8 46.9 2304 SH,2304,SH,81.8,46.9,-120.0233333,34.275,2023,spring,8.897959184,0,0,0,0,0,0,0,0,0,0,0,0,0,35.59183673,0,0,0,0,0,0,0,0,222.4489796,8.897959184,0,8.897959184,0,26.69387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.897959184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.79591837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11867,82.7 46.1 2304 SH,2304,SH,82.7,46.1,-119.8633333,34.14666667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.8,0,0,0,0,0,0,0,0,78.48,0,0,17.44,0,21.8,0,0,0,0,0,0,0,0,0,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,0,0,0,0,0,0,0,0,0,0,0,0,13.08,0,0,0,0,0,0,0,0,0,0,0,0,65.4,0,0,0,0,0,0,4.36,0,0,0,0,0,4.36,0,0
11869,83.3 39.4 2304 SH,2304,SH,83.3,39.4,-119.3866667,34.26166667,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11870,83.3 40.6 2304 SH,2304,SH,83.3,40.6,-119.4116667,34.225,2023,spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0
11871,83.3 42 2304 SH,2304,SH,83.3,42,-119.5083333,34.17833333,2023,spring,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,212.52,0,0,0,0,0,0,0,0,9.24,0,0,4.62,0,4.62,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,4.62,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
